scheme_name,short_description,full_description,min_age,max_age,max_income,category,state,occupation,education,area_type,benefit_amount,scheme_type,eligibility_details,application_steps,documents_required,reference_link
Youth Skill Development Mission,Skill training for unemployed youth,"Provides certified skill training programs for unemployed youth to improve employability and career prospects.",18,35,400000,All,All,Unemployed,All,All,30000,Skill Development,"Age within range;Unemployed;Registered in employment portal","Register at skill center;Choose course;Complete training;Certification","Aadhaar;Age Proof;Residence Certificate",https://skillindia.gov.in
Digital Skill Advancement Program,Digital literacy and IT skill support,"Promotes digital literacy and advanced IT training programs for youth and working professionals.",18,40,500000,All,All,All,All,All,25000,Skill Development,"Indian citizen;Interest in digital skills;Income eligibility","Enroll online;Attend training;Complete assessment","Aadhaar;Education Certificate;Passport Photo",https://skillindia.gov.in
Women Skill Empowerment Scheme,Skill development training for women,"Offers vocational and entrepreneurial training programs exclusively for women to improve livelihood opportunities.",18,45,400000,All,All,All,All,All,35000,Skill Development,"Applicant must be female;Age within range;Income criteria applicable","Register at training center;Complete course;Receive certification","Aadhaar;Income Proof;Residence Certificate",https://skillindia.gov.in
Senior Citizen Pension Scheme,Monthly pension support for elderly citizens,"Provides financial pension assistance to senior citizens belonging to economically weaker sections.",60,100,300000,All,All,Retired,All,All,12000,Pension,"Age above 60;Income under limit;No regular pension benefits","Apply through local welfare office;Submit age proof;Verification process","Age Proof;Income Certificate;Bank Details",https://nsap.nic.in
Widow Support Pension Scheme,Financial assistance for widowed women,"Provides pension support to widowed women from low income households to ensure social security.",25,60,250000,All,All,All,All,All,15000,Pension,"Widow certificate required;Income eligibility;Resident of India","Apply at district office;Submit widow certificate;Verification","Widow Certificate;Income Proof;Aadhaar",https://nsap.nic.in
Disability Assistance Pension,Pension support for persons with disabilities,"Offers monthly pension to individuals with certified disabilities from economically weaker backgrounds.",18,60,300000,All,All,All,All,All,15000,Pension,"Certified disability above required percentage;Income under threshold","Register with welfare office;Submit disability certificate","Disability Certificate;Income Certificate;Aadhaar",https://nsap.nic.in
Farmer Income Support Scheme,Direct income assistance for small farmers,"Provides annual financial support to small and marginal farmers for agricultural activities.",21,65,600000,All,All,Farmer,All,Rural,6000,Agriculture,"Registered farmer;Land ownership proof;Income criteria","Apply via agriculture department portal;Verification process","Land Records;Aadhaar;Bank Details",https://pmkisan.gov.in
Agricultural Equipment Subsidy,Subsidy support for purchase of farm equipment,"Provides financial subsidy to farmers for purchase of approved agricultural machinery and tools.",21,65,800000,All,All,Farmer,All,Rural,50000,Agriculture,"Registered farmer;Valid land record;Income criteria applicable","Apply through agriculture office;Equipment verification","Land Record;Aadhaar;Invoice Copy",https://agricoop.nic.in
Self Employment Assistance Scheme,Financial support for self employment activities,"Provides small financial grants or loans to individuals starting self employment ventures in rural and urban areas.",21,50,500000,All,All,Business,All,All,200000,Loan,"Indian citizen;Valid business proposal;Income within range","Submit business plan;Attend verification;Receive assistance","Business Proposal;Aadhaar;Bank Details",https://www.msme.gov.in
Urban Livelihood Mission,Support for urban poor livelihood initiatives,"Enhances livelihood opportunities for urban poor through skill development and financial inclusion.",18,50,400000,All,All,Unemployed,All,Urban,25000,Skill Development,"Urban resident;Income within limit;Registered under mission","Register through municipality;Complete training;Access financial support","Residence Proof;Income Certificate;Aadhaar",https://nulm.gov.in
Education Fee Reimbursement Scheme,Fee reimbursement for economically weaker students,"Reimburses tuition fees for eligible students studying in recognized educational institutions.",17,30,300000,All,All,Student,All,All,70000,Scholarship,"Enrolled in recognized institution;Income criteria;Regular attendance","Apply through education portal;Upload fee receipt;Verification","Fee Receipt;Aadhaar;Income Certificate",https://scholarships.gov.in
Ayushman Bharat PM-JAY,Free health insurance for poor families,"Ayushman Bharat Pradhan Mantri Jan Arogya Yojana provides health cover of Rs. 5 lakh per family per year for secondary and tertiary care hospitalization.",0,100,500000,All,All,All,All,All,500000,Health,"Family must be in SECC database;BPL card or ration card holder;No existing government health insurance","Check eligibility on official portal;Get Ayushman card;Visit empanelled hospital;Avail treatment","Aadhaar Card;Ration Card;SECC Data;Mobile Number",https://pmjay.gov.in
Janani Suraksha Yojana,Cash support for institutional delivery,"JSY promotes institutional delivery among pregnant women from BPL families to reduce maternal and infant mortality.",15,49,200000,All,All,All,All,Rural,14000,Health,"Pregnant woman;BPL household;Institutional delivery at government hospital","Register at nearest PHC;Fill JSY registration;Deliver at government hospital;Receive cash benefit","Pregnancy Registration;BPL Card;Aadhaar;Bank Passbook",https://nhm.gov.in
PM Matru Vandana Yojana,Maternity benefit scheme for pregnant women,"Provides cash incentive to pregnant and lactating mothers for the first living child to compensate for wage loss and improve health practices.",18,49,300000,All,All,All,All,All,5000,Health,"First living child;Registered pregnancy;Aadhaar linked bank account","Register at Anganwadi center;Fill PMMVY form;Submit documents;Receive installments","Aadhaar Card;Bank Passbook;MCP Card;Pregnancy Certificate",https://wcd.nic.in
Beti Bachao Beti Padhao,Scheme for welfare and education of girl child,"Addresses declining child sex ratio and promotes welfare, protection and education of the girl child.",0,18,400000,All,All,All,All,All,50000,Women Welfare,"Girl child;Parents must be Indian citizens;Enrollment in school","Apply at district office;Register girl child;Maintain school enrollment","Birth Certificate;Aadhaar;School Enrollment Proof;Bank Account",https://wcd.nic.in
Sukanya Samriddhi Yojana,Savings scheme for girl child education and marriage,"A government-backed savings scheme with high interest rate for the girl child to meet her higher education and marriage expenses.",0,10,800000,All,All,All,All,All,150000,Women Welfare,"Girl child below 10 years;Account opened by parent/guardian;Only two accounts per family","Visit post office or bank;Fill SSY account form;Deposit minimum Rs. 250","Birth Certificate of Girl;Aadhaar;Guardian's ID Proof;Address Proof",https://www.indiapost.gov.in
National Food Security Mission,Subsidized food grains for poor households,"Provides subsidized food grains to poor households under the National Food Security Act through PDS.",0,100,200000,All,All,All,All,All,15000,Health,"BPL household;Valid ration card;Resident of India","Register at ration shop;Get ration card;Collect subsidized ration monthly","Ration Card;Aadhaar Card;Residence Proof",https://dfpd.gov.in
Stand Up India Scheme,Loans for SC/ST and women entrepreneurs,"Facilitates bank loans between 10 lakh and 1 crore to at least one Scheduled Caste/Scheduled Tribe borrower and one woman borrower per bank branch.",21,60,1000000,SC/ST,All,Business,All,All,1000000,Loan,"SC/ST category or Woman;First time entrepreneur;Business plan ready","Visit nearest bank branch;Submit loan application;KYC verification;Loan approval","Caste Certificate;Aadhaar;PAN;Business Plan;Bank Statements",https://www.standupmitra.in
Deendayal Upadhyaya Grameen Kaushalya Yojana,Skill training for rural youth,"DDU-GKY provides skill training to rural poor youth to help them access regular salaried employment.",15,35,300000,All,All,Unemployed,All,Rural,25000,Skill Development,"Rural youth;Age 15-35;From poor households;Unemployed","Contact nearest PIAs;Fill registration form;Attend training program;Get certified","Aadhaar;Age Proof;Income Certificate;Residence Certificate",https://ddugky.gov.in
Pradhan Mantri Kaushal Vikas Yojana,Short term skill training with certification,"PMKVY is flagship skill training scheme providing free short-term skill training and certification to Indian youth.",15,45,500000,All,All,All,All,All,8000,Skill Development,"Indian citizen;Age 15-45;Willing to undergo training","Register on PMKVY portal;Choose training sector;Attend training;Pass assessment;Get certified","Aadhaar;Age Proof;Education Certificate;Passport Photo",https://pmkvyofficial.org
PM Scholarship Scheme for Defence Personnel,Scholarship for wards of defence personnel,"Provides scholarship support to wards of ex-servicemen/ex-coast guard personnel for professional degree courses.",18,25,600000,All,All,Student,All,All,36000,Scholarship,"Ward of ex-serviceman or ex-coast guard;Enrolled in first year of professional course;Passed 12th with minimum marks","Apply on Kendriya Sainik Board portal;Upload relevant documents;Submit within deadline","Education Certificate;Service Certificate of Parent;Aadhaar;Bank Details",https://ksb.gov.in
Integrated Child Development Scheme,Nutrition and health for children and mothers,"ICDS provides nutrition, pre-school education, immunization, health check-up and referral services to children below 6 years and pregnant women.",0,6,250000,All,All,All,All,All,12000,Health,"Children below 6 years;Pregnant or lactating mothers;Anganwadi beneficiary","Register at nearest Anganwadi center;Provide required documents","Birth Certificate;Aadhaar of Mother;Residence Proof",https://wcd.nic.in
Pradhan Mantri Suraksha Bima Yojana,Accidental insurance cover at low premium,"Provides accidental death and disability insurance cover of Rs. 2 lakh at a nominal premium of Rs. 20 per year.",18,70,500000,All,All,All,All,All,200000,Health,"Age 18-70;Aadhaar linked bank account;Pay annual premium of Rs. 20","Contact bank or insurer;Fill PMSBY form;Link Aadhaar;Auto-debit premium","Aadhaar Card;Bank Account;Mobile Number",https://jansuraksha.gov.in
Pradhan Mantri Jeevan Jyoti Bima Yojana,Life insurance scheme for working age population,"Provides life insurance cover of Rs. 2 lakh at premium of Rs. 436 per year for death due to any cause.",18,50,600000,All,All,All,All,All,200000,Health,"Age 18-50;Aadhaar linked savings bank account;Auto debit consent","Apply via bank;Fill PMJJBY form;Annual auto-debit of premium","Aadhaar Card;Bank Passbook;Mobile Number",https://jansuraksha.gov.in
Atal Pension Yojana,Pension scheme for unorganised sector workers,"Provides guaranteed minimum pension of Rs. 1000 to 5000 per month after age 60 to unorganised sector workers.",18,40,500000,All,All,All,All,All,60000,Pension,"Age 18-40;Savings bank account;Not an income taxpayer;Not member of EPFO/NPS","Visit bank or post office;Fill APY registration form;Choose pension amount;Monthly auto-debit setup","Aadhaar Card;Bank Passbook;Mobile Number",https://www.npscra.nsdl.co.in
National Apprenticeship Promotion Scheme,Stipend support for apprentices in industries,"Provides financial support to apprentices undergoing training in designated trades in various establishments.",15,30,400000,All,All,All,All,All,15000,Skill Development,"Age 15-30;Minimum educational qualification as per trade;Enrolled in apprenticeship","Register on apprenticeship portal;Find establishment;Execute apprenticeship contract","Aadhaar;Age Proof;Education Certificate",https://apprenticeship.gov.in
PM SVANidhi Scheme,Micro credit for street vendors,"Provides affordable collateral-free working capital loans to street vendors to resume their livelihoods.",20,60,300000,All,All,Business,All,Urban,50000,Loan,"Street vendor;Vending certificate or letter of recommendation;Registered on PM SVANidhi portal","Apply via mobile app or bank;Get certificate;Receive loan","Vendor Certificate;Aadhaar;Bank Passbook",https://pmsvanidhi.mohua.gov.in
Kisan Credit Card Scheme,Short term credit for agricultural needs,"Provides timely credit support to farmers for agricultural operations, maintenance, and other short term requirements.",21,75,800000,All,All,Farmer,All,Rural,300000,Agriculture,"Cultivator or lessee farmer;Land holding as security;Valid agricultural activity","Apply at cooperative/commercial bank;Submit land documents;Credit assessment;Card issuance","Land Records;Aadhaar;Crop Details;Bank Account",https://pmkisan.gov.in
Soil Health Card Scheme,Free soil testing and advisory for farmers,"Provides farm-wise soil health cards to farmers with crop-wise recommendations of nutrients and fertilizers.",21,75,1000000,All,All,Farmer,All,Rural,2000,Agriculture,"All farmers with agricultural land;Aadhaar required;Registered with agriculture department","Contact nearest agriculture office;Submit soil sample;Receive soil health card","Aadhaar;Land Record;Mobile Number",https://soilhealth.dac.gov.in
PM Crop Insurance Scheme,Crop insurance for farmers against natural calamities,"Provides comprehensive risk coverage and financial support to farmers in case of failure of crops due to unforeseen events.",18,70,1000000,All,All,Farmer,All,Rural,50000,Agriculture,"Farmer with cultivated land;Crop sown and insured;Premium payment done","Enroll through bank or cooperative;Submit crop details;Pay premium;File claim if loss","Land Record;Aadhaar;Bank Account;Crop Sowing Certificate",https://pmfby.gov.in
National Rural Employment Guarantee Scheme,100 days wage employment guarantee to rural households,"MGNREGS guarantees 100 days of wage employment in a year to every rural household whose adult members volunteer to do unskilled manual work.",18,100,200000,All,All,All,All,Rural,18000,Agriculture,"Rural household;Adult member willing to do manual work;Job card holder","Apply for job card at Gram Panchayat;Get job card;Demand work;Work on projects","Aadhaar;Residence Proof;Photo;Bank Account",https://nrega.nic.in
Pradhan Mantri Gram Sadak Yojana Beneficiary,Connectivity and rural infrastructure support,"Rural connectivity scheme providing road infrastructure in rural areas which indirectly benefits BPL rural households.",18,75,200000,All,All,All,All,Rural,10000,Agriculture,"Rural BPL household;Residing in unconnected village;Registered with Gram Panchayat","Register with Gram Panchayat;Participate in beneficiary selection","BPL Card;Aadhaar;Residence Proof",https://pmgsy.nic.in
OBC Pre Matric Scholarship,Scholarship for OBC students in pre-matric classes,"Provides financial support to OBC category students studying in class 9 and 10 in recognized schools.",9,18,300000,OBC,All,Student,School,All,25000,Scholarship,"OBC category student;Studying in class 9 or 10;Income criteria;Parent not government employee","Apply through state scholarship portal;Upload caste certificate;School verification","Caste Certificate;Aadhaar;Income Certificate;School Enrollment",https://scholarships.gov.in
OBC Post Matric Scholarship,Scholarship for OBC students in higher education,"Extends financial support to OBC students pursuing post-matric education including professional and technical courses.",18,30,300000,OBC,All,Student,All,All,50000,Scholarship,"OBC category;Income within limit;Pursuing post-matric education","Apply on NSP portal;Upload caste and income documents;Submit application","Caste Certificate;Income Certificate;Aadhaar;Academic Records",https://scholarships.gov.in
National Handicapped Finance Corporation Loan,Loan for disabled persons to start enterprise,"Provides concessional loans to persons with disabilities for income generating activities and self-employment.",18,55,300000,All,All,Business,All,All,500000,Loan,"Person with disability above 40%;Income generating activity proposed;Disability certificate","Apply at NHFC or channelizing agency;Submit business plan;Assessment;Loan sanction","Disability Certificate;Aadhaar;Business Plan;Bank Details",https://www.nhfdc.nic.in
PM Ujjwala Yojana,Free LPG connection for BPL women,"Provides free LPG connections to women from BPL households to replace unclean cooking fuel and improve health.",18,65,200000,All,All,All,All,All,1600,Health,"Woman of BPL household;No existing LPG connection in household;Aadhaar linked bank account","Visit nearest LPG distributor;Fill PMUY application;Submit documents;Get free connection","Aadhaar Card;BPL Card;Bank Passbook",https://pmuy.gov.in
Pradhan Mantri Jan Dhan Yojana,Zero balance bank account with benefits,"Opens zero-balance bank accounts with RuPay debit card, accident insurance cover and overdraft facility for unbanked citizens.",10,100,500000,All,All,All,All,All,10000,Health,"Indian citizen;No existing bank account;Aadhaar or valid ID","Visit nearest bank;Fill PMJDY form;Submit ID proof;Account opened instantly","Aadhaar Card or any valid ID;Address Proof;Photograph",https://www.pmjdy.gov.in
Rajiv Gandhi Scholarships for Excellence,"Merit scholarship for meritorious students pursuing graduate programs","Provides scholarships to meritorious students from low income families who scored high in national competitive exams.",18,25,400000,All,All,Student,Graduate,All,75000,Scholarship,"High rank in competitive exam;Low income background;Enrolled in recognized institution","Apply on NSP;Submit exam rank card;Income verification;Award","Exam Rank Card;Income Certificate;Aadhaar;Enrollment Certificate",https://scholarships.gov.in
Antyodaya Anna Yojana,Subsidized food for poorest of the poor families,"Provides highly subsidized rice and wheat to poorest of the poor households who are not covered under targeted PDS.",0,100,100000,All,All,All,All,All,24000,Health,"Poorest of the poor household;No regular income;BPL list inclusion","Approach district welfare office;Verification by local authority;Get AAY ration card","BPL Certificate;Aadhaar;Residence Proof;Photograph",https://dfpd.gov.in
Pradhan Mantri Fasal Bima Yojana Rabi,Crop insurance for Rabi season farmers,"Covers rabi crops against natural calamity losses with minimal premium contribution by farmers.",18,70,1000000,All,All,Farmer,All,Rural,40000,Agriculture,"Rabi crop farmer;Land record or lessee document;Premium payment","Apply at bank or cooperative society;Submit crop details;Pay nominal premium","Land Record;Aadhaar;Bank Account;Crop Insurance Form",https://pmfby.gov.in
National Social Assistance Programme,Social pension for aged widows and disabled,"NSAP provides social assistance to aged persons, widows, disabled persons and bereaved families upon death of primary breadwinner.",18,100,200000,All,All,All,All,All,12000,Pension,"BPL household;Belongs to eligible category;Verified by district authority","Apply at district social welfare office;Verification;Inclusion in NSAP list","BPL Card;Aadhaar;Category Proof;Bank Details",https://nsap.nic.in
Employees State Insurance Scheme,Health and social security for organised sector workers,"ESI provides comprehensive medical care and cash benefits to workers in organised sector and their dependents.",18,65,500000,All,All,All,All,All,100000,Health,"Employee in ESI covered establishment;Monthly wages within limit;Registered under ESI","Auto enrollment by employer;ESI card issuance;Access medical care","Employee ID;Aadhaar;Salary Slip;ESI Card",https://www.esic.in
Central Sector Scholarship for College Students,Scholarship for top college students from low income families,"Provides scholarships to meritorious students from low income families for higher studies at graduate and postgraduate level.",18,25,450000,All,All,Student,Graduate,All,36000,Scholarship,"Scored above 80 percentile in 12th board;Family income within limit;Enrolled in UG course","Apply on NSP portal;Upload 12th marksheet;Income verification","12th Marksheet;Income Certificate;Aadhaar;Bank Passbook",https://scholarships.gov.in
National Overseas Scholarship for SC/ST,Scholarship for SC/ST students pursuing higher education abroad,"Provides financial assistance to SC/ST students for pursuing Masters and PhD programs in foreign universities.",25,35,600000,SC/ST,All,Student,Graduate,All,500000,Scholarship,"SC/ST category;Admission in foreign university;Selected candidates","Apply through Ministry of Social Justice;Selection interview;Award of scholarship","Caste Certificate;Admission Letter;Aadhaar;Passport",https://socialjustice.nic.in
Mahila Shakti Kendra Scheme,Women empowerment through community involvement,"Empowers rural women through community engagement and creation of awareness about government schemes and entitlements.",18,60,400000,All,All,All,All,Rural,20000,Women Welfare,"Woman residing in rural area;Interested in skill or livelihood program;Income within limit","Register at nearest MSK;Participate in training;Access financial support","Aadhaar;Residence Proof;Bank Account",https://wcd.nic.in
Indira Gandhi Matritva Sahyog Yojana,Improved maternity entitlements for pregnant women,"Contributes to better enabling environment by providing cash incentives for improved health and nutrition to pregnant and lactating mothers.",18,40,300000,All,All,All,All,All,6000,Women Welfare,"Pregnant woman;First two live births;Beneficiary of Anganwadi","Register at Anganwadi center;Fill IGMSY form;Attend health checkups;Receive installments","Aadhaar;Pregnancy Card;Bank Passbook;MCP Card",https://wcd.nic.in
Rajiv Gandhi Grameen Vidyutikaran Yojana,Rural household electrification support,"Provides free electricity connection to BPL households in rural areas under rural electrification program.",18,75,200000,All,All,All,All,Rural,50000,Housing,"BPL rural household;No existing electricity connection;Aadhaar linked bank account","Apply through Gram Panchayat;Submit BPL card;Verification;Connection provided","BPL Card;Aadhaar;Residence Proof",https://recindia.nic.in
Artisan Credit Card Scheme,Working capital credit for traditional artisans,"Provides credit cards to traditional artisans for working capital needs to sustain and grow their craft business.",20,60,400000,All,All,Business,All,All,200000,Loan,"Registered artisan;Artisan card or certificate;Active craft activity","Apply at bank or artisan cooperative;Submit artisan certificate;KYC completion","Artisan Card;Aadhaar;Bank Account;Business Proof",https://dc-msme.gov.in
National Urban Health Mission,Health services for urban poor,"Provides comprehensive primary healthcare to urban poor in slums and other deprived sections of urban population.",0,100,300000,All,All,All,All,Urban,50000,Health,"Urban poor household;Resident of slum or deprived area;BPL or low income","Visit nearest Urban Health Center;Avail free services;Register for health ID","Aadhaar;Residence Proof;BPL Card if available",https://nhm.gov.in
Women Entrepreneurship Development Scheme,Training and support for women entrepreneurs,"Provides training, mentoring and financial support to women who want to start and grow their own enterprises.",20,50,500000,All,All,Business,All,All,100000,Women Welfare,"Woman entrepreneur;Valid business plan;Age 20-50;Income within limit","Apply at NIESBUD or WDC;Training enrollment;Mentoring;Financial support access","Aadhaar;Business Plan;Income Certificate;Bank Account",https://msme.gov.in
Ex-Servicemen Contributory Health Scheme,Healthcare for ex-servicemen and families,"Provides comprehensive secondary and tertiary healthcare to ex-servicemen, their dependents and widows through ECHS polyclinics.",0,100,800000,All,All,Retired,All,All,100000,Health,"Former defence personnel;Retired from service;ECHS card holder;Dependents registered","Apply through nearest record office;Membership subscription;Card issuance;Access polyclinic","Service Discharge Book;Aadhaar;PPO;Family Photograph",https://echs.gov.in
PM Annadata Aay Sanrakshan Abhiyan,Price support for farmers during surplus,"PA-AASHA ensures fair price to farmers when market price falls below MSP through price support or price deficiency payment.",18,70,1000000,All,All,Farmer,All,Rural,50000,Agriculture,"Registered farmer;Growing notified oilseeds or pulses;Income criteria","Register on state portal;Sell produce at procurement center;Receive price difference","Land Record;Aadhaar;Bank Account;Crop Details",https://agricoop.nic.in
Child Labour Rehabilitation Scheme,Education and rehabilitation for child labourers,"Provides rehabilitation support and education to rescued child labourers by enrolling them in bridge schools or mainstream schools.",5,14,200000,All,All,All,All,All,15000,Health,"Rescued child labourer;Age 5-14;Enrolled in bridge school or mainstream education","Identification by NGO or government;Rescue and rehabilitation;School enrollment","Birth Certificate;Aadhaar;Residence Proof",https://labour.gov.in
